Fecha;Hora;Producto;ISIN;Ticker;Bolsa;Exchange Yahoo;Exchange Google;Cantidad;Precio;Precio Divisa;Valor Local;Valor Local Divisa;Valor;Valor Divisa;Tipo de cambio;Costes Transacción;Costes Transacción Divisa;Total;Total Divisa
2018-01-04;15:30;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;13.0;185.0;USD;-2405.0;USD;-1993.75;EUR;1.2063;-0.54;EUR;-1994.29;EUR
2018-01-05;16:31;AMADEUS IT;ES0109067019;;MAD;.MC;;50.0;62.94;EUR;-3147.0;EUR;-3147.0;EUR;;-3.26;EUR;-3150.26;EUR
2018-01-05;16:34;AMADEUS IT;ES0109067019;;MAD;.MC;;3.0;62.9;EUR;-188.7;EUR;-188.7;EUR;;-2.08;EUR;-190.78;EUR
2018-01-09;19:01;AMAZON.COM INC. - COM;US0231351067;;NDQ;;;2.0;1250.06;USD;-2500.12;USD;-2097.1;EUR;1.1922;-0.51;EUR;-2097.61;EUR
2018-01-18;14:08;BITCOIN TRACKER EUR XBT PROVIDER;SE0007525332;;OMX;.ST;;5.0;459.4;EUR;-2297.0;EUR;-2297.0;EUR;;-2.46;EUR;-2299.46;EUR
2018-01-18;16:25;BITCOIN TRACKER EUR XBT PROVIDER;SE0007525332;;OMX;.ST;;5.0;473.0;EUR;2365.0;EUR;2365.0;EUR;;-2.47;EUR;2362.53;EUR
2018-01-19;10:13;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;86.93;EUR;-2607.9;EUR;-2607.9;EUR;;-2.52;EUR;-2610.42;EUR
2018-01-19;14:17;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;87.5;EUR;2625.0;EUR;2625.0;EUR;;-2.53;EUR;2622.47;EUR
2018-01-22;10:09;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;87.01;EUR;-2610.3;EUR;-2610.3;EUR;;-2.52;EUR;-2612.82;EUR
2018-01-22;10:53;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;87.5;EUR;2625.0;EUR;2625.0;EUR;;-2.53;EUR;2622.47;EUR
2018-01-22;12:31;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;2.0;87.13;EUR;-174.26;EUR;-174.26;EUR;;-2.03;EUR;-176.29;EUR
2018-01-22;12:31;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;28.0;87.13;EUR;-2439.64;EUR;-2439.64;EUR;;-0.49;EUR;-2440.13;EUR
2018-01-22;13:04;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;84.06;EUR;2521.8;EUR;2521.8;EUR;;-2.5;EUR;2519.3;EUR
2018-01-22;15:39;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;80.0;EUR;-2400.0;EUR;-2400.0;EUR;;-2.48;EUR;-2402.48;EUR
2018-01-22;16:01;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;78.96;EUR;2368.8;EUR;2368.8;EUR;;-2.47;EUR;2366.33;EUR
2018-01-23;17:20;BITCOIN TRACKER EUR XBT PROVIDER;SE0007525332;;OMX;.ST;;5.0;434.49;EUR;-2172.45;EUR;-2172.45;EUR;;-2.43;EUR;-2174.88;EUR
2018-01-24;11:48;BITCOIN TRACKER EUR XBT PROVIDER;SE0007525332;;OMX;.ST;;5.0;438.0;EUR;2190.0;EUR;2190.0;EUR;;-2.44;EUR;2187.56;EUR
2018-01-25;13:34;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;81.53;EUR;-2445.9;EUR;-2445.9;EUR;;-2.49;EUR;-2448.39;EUR
2018-01-25;13:39;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;81.53;EUR;2445.9;EUR;2445.9;EUR;;-2.49;EUR;2443.41;EUR
2018-01-25;13:40;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;81.53;EUR;-2445.9;EUR;-2445.9;EUR;;-2.49;EUR;-2448.39;EUR
2018-01-26;09:43;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30.0;78.5;EUR;2355.0;EUR;2355.0;EUR;;-2.47;EUR;2352.53;EUR
2018-01-26;10:04;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;15.0;79.51;EUR;-1192.65;EUR;-1192.65;EUR;;-0.24;EUR;-1192.89;EUR
2018-01-26;10:04;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;15.0;79.51;EUR;-1192.65;EUR;-1192.65;EUR;;-2.24;EUR;-1194.89;EUR
2018-01-26;17:16;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;5.0;82.42;EUR;412.1;EUR;412.1;EUR;;-2.08;EUR;410.02;EUR
2018-01-29;09:00;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;25.0;90.06;EUR;2251.5;EUR;2251.5;EUR;;-2.45;EUR;2249.05;EUR
2018-02-02;11:02;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;40.0;67.33;EUR;-2693.2;EUR;-2693.2;EUR;;-2.54;EUR;-2695.74;EUR
2018-02-02;11:20;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;40.0;66.52;EUR;2660.8;EUR;2660.8;EUR;;-2.53;EUR;2658.27;EUR
2018-02-02;14:23;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;35.0;70.13;EUR;-2454.55;EUR;-2454.55;EUR;;-2.49;EUR;-2457.04;EUR
2018-02-02;14:25;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;17.0;72.2;EUR;1227.4;EUR;1227.4;EUR;;-2.25;EUR;1225.15;EUR
2018-02-02;14:25;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;18.0;71.56;EUR;1288.08;EUR;1288.08;EUR;;-0.26;EUR;1287.82;EUR
2018-02-02;14:45;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;20.0;72.4;EUR;-1448.0;EUR;-1448.0;EUR;;-2.29;EUR;-1450.29;EUR
2018-02-02;14:45;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;16.0;72.45;EUR;-1159.2;EUR;-1159.2;EUR;;-0.23;EUR;-1159.43;EUR
2018-02-02;14:54;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;36.0;73.5;EUR;2646.0;EUR;2646.0;EUR;;-2.53;EUR;2643.47;EUR
2018-02-06;09:00;AMADEUS IT;ES0109067019;;MAD;.MC;;53.0;56.88;EUR;3014.64;EUR;3014.64;EUR;;-3.21;EUR;3011.43;EUR
2018-02-07;15:30;AVEXIS INC. - COMMON;US05366U1007;;NDQ;;;10.0;114.27;USD;-1142.7;USD;-926.27;EUR;1.2337;-0.53;EUR;-926.8;EUR
2018-02-07;15:30;LENDINGTREE INC. - CO;US52603B1070;;NDQ;;;11.0;342.05;USD;-3762.55;USD;-3049.93;EUR;1.2337;-0.54;EUR;-3050.47;EUR
2018-02-07;15:30;ADR ON WEIBO CORP;US9485961018;;NDQ;;;8.0;117.76;USD;-942.08;USD;-763.65;EUR;1.2337;-0.53;EUR;-764.18;EUR
2018-02-07;15:46;ALPHABET INC. - CLASS A;US02079K3059;GOOGL;NDQ;;NASDAQ;1.0;1070.95;USD;-1070.95;USD;-868.22;EUR;1.2335;-0.5;EUR;-868.72;EUR
2018-02-09;18:46;LENDINGTREE INC. - CO;US52603B1070;;NDQ;;;11.0;339.0;USD;3729.0;USD;3054.05;EUR;1.221;-0.54;EUR;3053.51;EUR
2018-02-09;20:50;AVEXIS INC. - COMMON;US05366U1007;;NDQ;;;5.0;108.95;USD;-544.75;USD;-445.55;EUR;1.2226;-0.52;EUR;-446.07;EUR
2018-02-09;20:54;ADR ON WEIBO CORP;US9485961018;;NDQ;;;2.0;114.08;USD;-228.16;USD;-186.59;EUR;1.2228;-0.51;EUR;-187.1;EUR
2018-02-09;20:57;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;5.0;174.18;USD;-870.9;USD;-712.05;EUR;1.2231;-0.52;EUR;-712.57;EUR
2018-02-09;21:00;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;5.0;173.6;USD;-868.0;USD;-709.68;EUR;1.2231;-0.52;EUR;-710.2;EUR
2018-02-09;21:01;ALPHABET INC. - CLASS A;US02079K3059;GOOGL;NDQ;;NASDAQ;1.0;1023.6;USD;-1023.6;USD;-836.89;EUR;1.2231;-0.5;EUR;-837.39;EUR
2018-02-09;21:09;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;1.0;172.43;USD;-172.43;USD;-141.0;EUR;1.2229;-0.5;EUR;-141.5;EUR
2018-03-19;20:06;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;24.0;171.9;USD;4125.6;USD;3339.68;EUR;1.2353;-0.58;EUR;3339.1;EUR
2018-03-22;14:31;ACCENTURE PLC. CLASS A;IE00B4BNMY34;ACN;NSY;;NYSE;7.0;157.17;USD;-1100.19;USD;-893.8;EUR;1.2309;-0.52;EUR;-894.32;EUR
